Day job,2000,,,,,,,,,,,,,,
Company RRP,,,,,,,,,,,,,,,
Stocks,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Net income ,2000,,,,,,,,,,,,,,
Fundamentals,,,Fun ,,,Future You,,,,,Goal,Actual,Actual,Total (Planned),Total (Actual)
,Planned,Actual,,Planned,Actual,,Planned,Actual,,,,,,,
Rent,0,,Clothing,0,,Emergency fund,,,,Essentials,50%,79.50%,63.90%,1590,1278
Transportation,200,,Drinks,0,,Extra debt payments,,,,Fun,30%,25.00%,35.00%,500,700
Groceries,200,73,Eating out,150,65,Self-development,,,,Future You,20%,0.00%,0.00%,0,0
Zaytoun,140,140,Adventures,0,,Education,,,,,,,,,
Internet,100,100,Coffee,50,44,WealthSimple,0,0,,Total Planned/Actual Spend,,,,2090,1978
Hydro ,100,115,Miscellaneous ,300,591,Vacation fund,,,,Total Leftover/Left To Spend,,,,-90,22
Gas,150,150,,,,Pension,,,,,,,,,
Cell Phone,0,,,,,Safety,,,,,,,,,
Parents,0,,,,,,,,,,,,,,
Gym,100,100,,,,,,,,,,,,,
Flight,600,600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL (Planned/Actual):,1590,1278,TOTAL (Planned/Actual):,500,700,TOTAL (Planned/Actual):,0,0,,,,,,,
